code;short_description;long_description
01012110;Live pure-bred breeding  horses of Arabian  breed;Live pure-bred breeding  horses of Arabian  breed
01012190;Other live pure-bred breeding horses other than of Arabian breed.;Other live pure-bred breeding horses other than of Arabian breed.
01012910;Live sport horses other than pur- bred breeding animals;Live sport horses other than pur- bred breeding animals
01012920;live  ponies other than pure- bred breeding animals;live  ponies other than pure- bred breeding animals
01012990;Other live horses excluding pure-bred breeding animals;Other live horses excluding pure-bred breeding animals
01013000;Live Asses.;Live Asses other than pure-bred breeding.
01019000;Other live pure-bred breeding mules and Hinnies excluding (Arab breed horses, sport horses) Asses,po;Other live pure-bred breeding mules and Hinnies excluding (Arab breed horses, sport horses) Asses,pony.
01022100;Live pure-bred breeding Cattle;Live pure-bred breeding Cattle
01022900;Other live cattle other than pure-bred breeding  animals;Other live cattle other than pure-bred breeding  animals
01023100;Live pure-bred breeding Buffalo;Live pure-bred breeding Buffalo
01023900;Other live buffalo  other than  pure-bred breeding animals;Other live buffalo  other than  pure-bred breeding animals
01029000;Live bovine, other than pure-bred breeding.;Live bovine, other than pure-bred breeding.
01031000;Live pure-bred breeding swine.;Live pure-bred breeding swine.
01039100;Live swine, weighing less than 50 kg, other than pure-bred breeding.;Live swine, weighing less than 50 kg, other than pure-bred breeding.
01039200;Live swine, weighing 50 kg or more, other than pure-bred breeding.;Live swine, weighing 50 kg or more, other than pure-bred breeding.
01041010;Live pure-bred breeding sheep.;Live pure-bred breeding sheep.
01041090;Live sheep other than pure-bred breeding.;Live sheep other than pure-bred breeding.
01042010;Live pure-bred breeding goats.;Live pure-bred breeding goats.
01042090;Live goats other than pure-bred breeding.;Live goats other than pure-bred breeding.
01051100;Live fowls of the species Gallus domesticus, weighing not more than 185 g.;Live fowls of the species Gallus domesticus, weighing not more than 185 g.
01051200;Live turkeys, weighing not more than 185 g.;Live turkeys, weighing not more than 185 g.
01051300;Live Ducks, weighing not more than 185 g.;Live Ducks, weighing not more than 185 g.
01051400;Live ,Geese  weighing not more than 185 g.;Live ,Geese  weighing not more than 185 g.
01051500;Live, Guinea fowls  weighing not more than 185 g.;Live, Guinea fowls  weighing not more than 185 g.
01059410;Live Fowls of the species Gallus domesticus, for laying eggs;Live Fowls of the species Gallus domesticus, for laying eggs
01059420;Live Fowls of the species Gallus domesticus,For meat;Live Fowls of the species Gallus domesticus,For meat
01059430;Live Fowls of the species Gallus domesticus, As mothers;Live Fowls of the species Gallus domesticus, As mothers
01059490;OtherLive Fowls of the species Gallus domesticus;Other Live Fowls of the species Gallus domesticus
01059910;Live tame ducks & geese, weighing more than 185 g.;Live tame ducks & geese, weighing more than 185 g.
01059920;Live turkeys weighing more than 185 g.;Live turkeys weighing more than 185 g.
01059990;Live ducks & geese (excluding tame) weighing more than 185 g.;Live ducks & geese (excluding tame) weighing more than 185 g.
01061100;Live primates (mammals).;Live primates (mammals).
01061200;"Live whales, dolphins & porpoises (mammals of the order Cetacea); manatees & dugongs (mammals of the";"Live whales, dolphins & porpoises (mammals of the order Cetacea); manatees & dugongs (mammals of the order Sirenia)."
01061310;live Pure bred-breeding Camel;live Pure bred-breeding Camel
01061320;Live Camels for domestic and racing;Live Camels for domestic and racing
01061390;other live Camels and other type of Camel species;other live Camels and other type of Camel species, other than Pure bred-breeding Camel and Camels for domestic and racing
01061400;Live rabbits & hares.;Live rabbits & hares.
01061930;Live deers & chamois.;Live deers & chamois.
01061940;Live dogs.;Live dogs.
01061950;Live foxes, minks & other fur animals.;Live foxes, minks & other fur animals.
